feature,importance
structure,878.1398185
p19_dimer_Hbond_stacking,781.5062299
p19_dimer_Hbond_energy,727.6773643
p18_trimer_Hbond_energy,645.1612711
temp,626.2678803
gc,620.2723472
p19_dimer_HLgap_eVE,525.5356643
p17_tetramer_Hbond_energy,524.3152558
p20_basepair_Hlgap_eV,509.3941068
p20_basepair_Hbond_energy,504.6227453
p17_tetramer_Hbond_stacking,481.941683
p18_trimer_Hlgap_eV,477.7375336
p1_tetramer_Hbond_energy,475.5070171
p15_tetramer_Hbond_energy,453.6112665
p18_trimer_Hbond_stacking,452.1072462
p13_tetramer_Hbond_energy,432.0332384
p15_tetramer_Hbond_stacking,429.1896449
p14_tetramer_Hbond_energy,426.0109709
p14_tetramer_Hbond_stacking,417.4769028
p2_tetramer_Hbond_energy,412.3596866
p11_tetramer_Hbond_energy,408.5065039
p1_tetramer_Hlgap_eV,405.1184352
p17_trimer_Hbond_stacking,394.5697409
p17_tetramer_Hlgap_eV,383.6909265
p12_tetramer_Hbond_energy,382.2562238
p18_dimer_Hbond_stacking,378.7227133
p16_tetramer_Hbond_stacking,375.6634366
p9_tetramer_Hlgap_eV,375.463795
p12_tetramer_Hlgap_eV,375.085922
p4_tetramer_Hlgap_eV,373.9094818
p9_tetramer_Hbond_energy,373.2945263
p6_tetramer_Hlgap_eV,373.1839257
p10_tetramer_Hlgap_eV,373.0514145
p7_tetramer_Hlgap_eV,370.7512133
p10_tetramer_Hbond_energy,369.7691643
p1_trimer_Hbond_energy,369.4219491
p3_tetramer_Hbond_energy,368.7613756
p11_tetramer_Hlgap_eV,367.2942344
p2_tetramer_Hbond_stacking,365.2743283
p13_tetramer_Hbond_stacking,364.7771643
p3_tetramer_Hlgap_eV,363.9087867
p5_tetramer_Hlgap_eV,363.6318721
p15_trimer_Hbond_stacking,363.2103363
p8_tetramer_Hlgap_eV,362.4127451
p1_tetramer_Hbond_stacking,361.3524122
p14_trimer_Hbond_energy,360.9556449
p8_tetramer_Hbond_energy,359.1731425
p7_tetramer_Hbond_energy,359.0133961
p4_tetramer_Hbond_energy,358.8208936
p13_tetramer_Hlgap_eV,358.6120074
p14_tetramer_Hlgap_eV,358.1740865
p16_tetramer_Hbond_energy,357.9135159
p11_tetramer_Hbond_stacking,357.769289
p2_trimer_Hbond_energy,357.6445701
p2_tetramer_Hlgap_eV,356.4851304
p12_tetramer_Hbond_stacking,351.6639579
p9_tetramer_Hbond_stacking,345.530489
p7_tetramer_Hbond_stacking,344.0553899
p5_tetramer_Hbond_energy,342.0191919
p8_tetramer_Hbond_stacking,341.6791392
p6_tetramer_Hbond_energy,341.1690936
p15_trimer_Hbond_energy,341.1411628
p6_tetramer_Hbond_stacking,340.9050985
p3_tetramer_Hbond_stacking,340.5877468
p5_tetramer_Hbond_stacking,339.5674408
p6_trimer_Hlgap_eV,338.4112862
p17_trimer_Hbond_energy,338.0603332
p10_tetramer_Hbond_stacking,336.597056
p18_dimer_HLgap_eVE,336.4598843
p15_tetramer_Hlgap_eV,336.2541006
p1_trimer_Hlgap_eV,334.3905072
p16_tetramer_Hlgap_eV,332.2987153
p4_tetramer_Hbond_stacking,331.3180379
p20_monomer_No_electrons,330.9376814
p18_dimer_Hbond_energy,330.2983183
p14_trimer_Hbond_stacking,327.9562079
p16_trimer_Hbond_stacking,327.8813649
p11_trimer_Hbond_energy,326.0758153
p8_trimer_Hlgap_eV,325.7631725
p5_trimer_Hlgap_eV,325.737089
p2_trimer_Hlgap_eV,324.9979009
p15_trimer_Hlgap_eV,324.1171824
p13_trimer_Hbond_energy,323.7292352
p7_trimer_Hlgap_eV,323.0499229
p10_trimer_Hlgap_eV,320.7060134
p9_trimer_Hlgap_eV,320.4683211
