sgRNAID	MFE
hcaTp6_43	0.0
hcaTp6_58	-2.4
ydgDp7_3	0.0
TSS1234TSS1235TSS1236TSS1237TSS1238TSS1239_38	-3.2
TSS1234TSS1235TSS1236TSS1237TSS1238TSS1239_40	0.0
yfeKp_21	0.0
TSS909TSS910_27	0.0
TSS909TSS910_52	0.0
flup1flup2_28	-9.5
flup1flup2_56	-3.8
TSS771TSS772_71	0.0
TSS246TSS247_44	-5.0
TSS246TSS247_75	-2.9
nadKp2_58	-0.2
nadKp2_73	0.0
TSS1458TSS1459TSS1460TSS1461TSS1462_84	0.0
TSS1458TSS1459TSS1460TSS1461TSS1462_110	-2.6
TSS4110_28	-2.8
TSS4110_39	0.0
hicAp_8	-2.9
hicAp_76	0.0
ycgXp4ycgXp5_55	0.0
ycgXp4ycgXp5_56	0.0
TSS1342TSS1343_77	0.0
TSS2598TSS2599_3	-0.1
TSS2598TSS2599_68	-0.6
yncEp_54	0.0
yncEp_55	0.0
TSS1049_40	-4.2
TSS1049_49	-2.4
potFp2_13	0.0
potFp2_25	-0.3
TSS1313_17	-3.0
TSS1313_40	0.0
TSS856_38	-0.1
TSS856_74	0.0
TSS854_25	-3.6
TSS852_27	0.0
TSS852_51	-7.4
TSS3421TSS3422TSS3423TSS3424TSS3425_76	-1.5
TSS3421TSS3422TSS3423TSS3424TSS3425_117	-0.8
cvpAp1_68	0.0
cvpAp1_76	-1.4
yncDp11_38	0.0
yncDp11_39	0.0
ompFp_48	-1.7
ompFp_56	0.0
slyXp4_19	-0.6
slyXp4_68	-2.0
psiEp_75	-1.1
TSS4030_32	-0.2
TSS4030_52	0.0
TSS4032_36	-1.7
TSS4032_48	0.0
TSS4034_41	0.0
TSS4034_52	-0.5
TSS4703TSS4704TSS4705TSS4706TSS4707TSS4708TSS4709TSS4710_30	0.0
TSS4703TSS4704TSS4705TSS4706TSS4707TSS4708TSS4709TSS4710_69	0.0
TSS4165_28	-1.7
TSS4165_43	0.0
yeeAp6_42	-0.4
yeeAp6_46	-0.6
intDp6_36	-1.3
intDp6_58	-2.2
alsRp2alsRp1_19	0.0
TSS2805TSS2806TSS2807TSS2808_80	0.0
TSS2805TSS2806TSS2807TSS2808_101	-3.2
TSS291_33	-0.7
TSS291_56	-1.2
xapAp_28	0.0
xapAp_35	-0.1
intZp3_22	0.0
intZp3_79	0.0
pdxKp1_46	0.0
pdxKp1_52	0.0
galEp2_10	0.0
galEp2_23	-0.9
TSS1311_8	0.0
TSS1311_67	-0.3
TSS4007TSS4008_57	0.0
TSS4007TSS4008_97	0.0
molR1p_48	0.0
TSS918TSS919TSS920TSS921TSS922_11	0.0
TSS918TSS919TSS920TSS921TSS922_75	0.0
yihFp1_15	0.0
yihFp1_46	0.0
rphp1_36	-3.2
rphp1_39	0.0
yceDp2_17	0.0
TSS1190TSS1191_30	-1.5
TSS4534_18	-0.8
TSS438TSS439TSS440TSS441TSS442TSS443_57	-0.4
TSS438TSS439TSS440TSS441TSS442TSS443_115	-1.4
cynTp_43	0.0
cynTp_55	-1.3
TSS4536_60	0.0
TSS4536_61	0.0
ybaPp3ybaPp4ybaPp6_64	-2.0
ybaPp3ybaPp4ybaPp6_67	-2.4
TSS2338TSS2339_25	-2.0
TSS2338TSS2339_50	-3.7
TSS4609_61	-1.1
narPp_45	0.0
narPp_79	-1.9
plsBp_3	-0.2
rseAp3_31	-1.1
rseAp3_32	0.0
yohJp4_25	-0.7
TSS4329_53	0.0
TSS5140_43	-0.1
TSS5140_57	-0.6
tyrRp_23	-0.2
tyrRp_27	-0.2
TSS4327_17	-1.4
TSS4327_33	-0.3
mepSp2_21	-1.5
mepSp2_39	-1.1
TSS5148_40	0.0
TSS5148_63	0.0
TSS216TSS217TSS218TSS219TSS220TSS221_38	-2.7
TSS216TSS217TSS218TSS219TSS220TSS221_63	0.0
